track_id,track_name,track_artist,track_album_name,energy,tempo,danceability,loudness,liveness,valence,speechiness,track_popularity,instrumentalness,duration_ms,acousticness
61dCUoMCg28qEBzrW6htYM,Rather Be (feat. Jess Glynne),"Clean Bandit, Jess Glynne",New Eyes,0.586,120.97,0.799,-6.735,0.193,0.549,0.0377,72,2.03e-06,227833,0.162
3H7ihDc1dqLriiWXwsc2po,Breaking Me,"Topic, A7S",Breaking Me,0.72,122.031,0.789,-5.652,0.129,0.664,0.218,72,0.0,166794,0.223
6f3Slt0GbA2bPZlz0aIFXN,The Business,Tiësto,The Business,0.62,120.031,0.798,-7.079,0.112,0.235,0.232,72,0.0192,164000,0.414
6uBhi9gBXWjanegOb2Phh0,Stay,"Zedd, Alessia Cara",Stay,0.622,102.04,0.69,-5.025,0.116,0.544,0.0622,73,0.0,210091,0.253
7mitXLIMCflkhZiD34uEQI,Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock",Sorry For Party Rocking,0.736,130.011,0.75,-4.168,0.265,0.355,0.155,72,0.0,262147,0.0202
3vv9phIu6Y1vX3jcqaGz5Z,Roses,"The Chainsmokers, ROZES",Roses,0.802,100.001,0.713,-7.055,0.309,0.343,0.0561,71,0.00377,226739,0.0435
2U8NXPTXZWG2O0ye2sYRiH,I Love It (feat. Charli XCX),"Icona Pop, Charli xcx",THIS IS... ICONA POP,0.906,125.916,0.711,-2.671,0.153,0.824,0.0284,71,1.64e-05,157153,0.00952
5YPMEOJ58kfl56VHxTgwx3,Play Hard (feat. Ne-Yo & Akon),"David Guetta, Ne-Yo, Akon",Nothing but the Beat (Ultimate Edition),0.921,130.072,0.691,-1.702,0.331,0.8,0.0533,71,0.0,201000,0.173
1pKYYY0dkg23sQQXi0Q5zN,Around the World,Daft Punk,Homework,0.795,121.294,0.956,-5.311,0.0906,0.841,0.15,71,0.889,429533,0.00356
5GjnIpUlLGEIYk052ISOw9,This Is What It Feels Like,"Armin van Buuren, Trevor Guthrie",Intense,0.833,129.885,0.551,-5.217,0.0632,0.145,0.03,70,2.77e-06,204360,0.0391
5MhsZlmKJG6X5kTHkdwC4B,I'm an Albatraoz,"AronChupa, Little Sis Nora",I'm an Albatraoz,0.817,128.078,0.883,-5.414,0.11,0.595,0.235,70,0.00449,166849,0.601
3zU9rdflI65tK4dkkNSp77,Heroes (we could be),"Alesso, Tove Lo",Forever,0.748,125.896,0.503,-4.124,0.343,0.356,0.0619,70,0.0,210013,0.0305
3W2ZcrRsInZbjWylOi6KhZ,You & Me - Flume Remix,"Disclosure, Eliza Doolittle, Flume",Settle (Special Edition),0.392,75.066,0.599,-6.869,0.131,0.26,0.0257,70,0.000107,282813,0.378
6usohdchdzW9oML7VC4Uhk,Lose Control,Teddy Swims,Lose Control,0.604,159.92,0.561,-4.409,0.104,0.242,0.0337,81,1.9e-05,210689,0.199
3ym8ajVmKm6Fybgov3WBI5,Let Me Go,Daniel Caesar,NEVER ENOUGH,0.473,152.88,0.591,-8.122,0.108,0.451,0.0708,70,0.00334,216524,0.694
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",UTOPIA,0.882,148.038,0.569,-2.777,0.142,0.201,0.06,88,0.0,191701,0.0316
51eSHglvG1RJXtL3qI5trr,Slow It Down,Benson Boone,Fireworks & Rollerblades,0.583,181.489,0.432,-4.682,0.0933,0.544,0.0687,87,0.0,161831,0.174
0OA00aPt3BV10qeMIs3meW,Big Dawgs,"Hanumankind, Kalmi",Big Dawgs,0.745,180.098,0.464,-3.202,0.363,0.262,0.161,85,0.0,190667,0.0235
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),"David Guetta, Bebe Rexha",I'm Good (Blue),0.965,128.04,0.561,-3.673,0.371,0.304,0.0343,85,7.07e-06,175238,0.00383
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,d4vd,Romantic Homicide,0.544,132.052,0.571,-10.613,0.322,0.216,0.0299,85,0.00805,132631,0.453
7ov3TDp5D00Rnu5R1viX4w,New Woman (feat. ROSALÍA),"LISA, ROSALÍA",New Woman (feat. ROSALÍA),0.854,140.515,0.477,-4.715,0.065,0.314,0.275,85,0.0,179790,0.0858
2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,Artemas,i like the way you kiss me,0.946,151.647,0.599,-4.263,0.0826,0.747,0.0447,84,0.0106,142515,0.000938
1lOe9qE0vR9zwWQAOk6CoO,Ransom,Lil Tecca,We Love You Tecca,0.642,179.974,0.745,-6.257,0.0658,0.226,0.287,84,0.0,131240,0.0204
2yR2sziCF4WEs3klW1F38d,KEEP UP,Odetari,KEEP UP // FROSTBITE,0.829,139.198,0.476,-3.806,0.167,0.505,0.0658,84,0.00916,133227,0.0172
4Na2HfNSr58chvfX69fy36,one of wun,Gunna,One of Wun,0.453,139.943,0.915,-4.589,0.104,0.287,0.27,84,0.000163,144000,0.0872
5nPbKG04fhLkIAjcPFaZq7,I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm",I Adore You (feat. Daecolm),0.787,119.996,0.704,-6.751,0.159,0.31,0.0462,83,0.00538,214000,0.00926
4MSj19TwYBLgDFj3ddEeco,Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",Black Friday (pretty like the sun),0.618,126.031,0.853,-10.833,0.0972,0.32,0.0923,83,0.89,145599,0.633
4q5YezDOIPcoLr8R81x9qy,I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT,0.751,129.994,0.701,-8.39,0.15,0.22,0.0502,83,0.0,218005,0.123
19RybK6XDbAVpcdxSbZL1o,Apple,Charli xcx,BRAT,0.957,126.035,0.804,-5.452,0.114,0.962,0.034,83,0.0174,151740,0.125
2ZRo7axmMPeSVUvDbGkJah,Hope,XXXTENTACION,?,0.457,146.04,0.592,-6.081,0.146,0.225,0.0603,82,0.000331,110886,0.661
