energy,tempo,danceability,loudness,liveness,valence,speechiness,track_popularity,instrumentalness,mode,key,duration_ms,acousticness,playlist_genre,playlist_subgenre,track_id,track_name,track_artist,track_album_name
-0.0165719104940521,-0.11313751784974915,0.5113947302682271,0.36516309007157016,-0.3111482875330647,0.5740573159907101,-0.7093214162611265,-1.2943515086165103,1.9702984272787771,0.8533493588238805,-1.4799954383027234,0.423248638695219,-0.8710966219332386,12,9,6RZmhpvukfyeSURhf4kZ0d,Is It True,Tame Impala,The Slow Rush
0.4650292671972811,0.2529640590207655,0.1309727709128023,0.1960042282417756,0.04382596154484255,0.07399941477209464,-0.7133317022470963,0.5292122806968833,-0.2652924481192066,-1.1718529927511037,-0.37127372504715433,-0.12736170803374183,-0.8075175428914815,9,35,3wo3d0I5H8KjkwGvnz8WbB,Somedays,"Sonny Fodera, Jazzy, D.O.D",Somedays
-0.9040167772511161,-2.1118792011013388,-1.416076530465927,-0.4628562073264614,-0.3595538669527794,-1.0871519829728262,0.4015278018525008,0.0318767017932305,-0.26537484864851935,0.8533493588238805,-1.4799954383027234,-0.5933881231847561,0.25812050507770434,10,35,0U60hgxzGit7juEuHul2y3,25,Rod Wave,Last Lap
1.3957641274546897,1.43769507024395,-1.1307600609493584,0.9366297178643441,-0.7177551546586678,-0.7947452441246526,0.4917592365368208,-1.2943515086165103,-0.26200217582083474,-1.1718529927511037,0.1830871315806302,0.9138388725482449,-0.8817769493353567,21,40,23UoI3jlFiWdo5jadUYo69,Bulls In The Bronx,Pierce The Veil,Collide With The Sky
-0.5414630816857305,0.1455870725062603,1.234196453043535,-0.4181224277532583,-0.7298565495135965,1.1334441207437376,-0.05363965755506842,0.5292122806968833,-0.25630440278618577,-1.1718529927511037,-0.09409329673326207,-0.15288612299784332,1.4714312413422457,20,48,4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,Justin Bieber,Purpose (Deluxe)
-0.5631080784359028,-0.593858300559216,1.1581120611724498,0.329909316765536,-0.26274270811335004,-0.7735563500052198,1.0331478446427402,1.026547859600536,-0.2652937256467929,-1.1718529927511037,-0.37127372504715433,-0.544380560313494,1.2239797096040828,17,35,0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Cosa Nuestra
-0.13561939261999978,-0.3389395703584004,-0.002174914861596645,0.40723061788213216,-0.6943591246058057,-1.4388876253554117,-0.6110694096048671,-0.962794456014075,-0.26537484864851935,0.8533493588238805,-0.9256345816749388,-1.499882231513323,-0.8633138721446996,10,35,6afQ4fJDJ9QqU5BKIH99Ej,Insecurities,Lil Baby,Insecurities
0.7951154676374083,0.14192901274544306,0.35922594652605694,0.6510445290658816,-0.02878240758472926,0.8113729301283579,-0.4336142547257046,0.36343375439566566,-0.26537484864851935,-1.1718529927511037,1.5689892731500914,0.41227039569990653,-0.5397111270909857,20,48,2VOomzT6VavJOGBeySqaMc,Disturbia,Rihanna,Good Girl Gone Bad: Reloaded
-1.7319379029452062,-1.7020656575939828,1.4814707266245615,-0.45041369910080226,-0.6814509700938819,-0.633709648816963,2.496902229521708,-0.6312374034116398,-0.2653301351830008,-1.1718529927511037,0.7374479882084147,0.09801818995908711,-0.8234821578423307,2,35,5eqK0tbzUPo2SoeZsov04s,Bank Account,21 Savage,Issa Album
-0.20055438287051672,-0.9636548872891421,1.4180670667319906,0.924779710030383,-0.9146045109655073,0.8113729301283579,1.9755650513456373,-0.2996803508092047,-0.2347780629579715,0.8533493588238805,-1.202815009988831,1.1494079523210983,-0.6526607778682441,10,1,4AE7Lj39VnSZNOmGH2iZaq,Do For Love,2Pac,R U Still Down? [Remember Me]
-0.222199379620689,-0.7781653923466733,0.7142864419244541,0.3168743081481789,0.26971866550351087,1.078352996033212,-0.5779845502206165,1.5238834385041888,1.1718436858761712,-1.1718529927511037,-0.09409329673326207,-1.0021389862086636,-0.5405093578385282,17,41,5Uptvz6j1sjDKxidAcnH2L,SI NO ES CONTIGO,Cris Mj,SI NO ES CONTIGO
1.2388379010159405,-1.125422418934188,0.07390947700948847,0.4134518719949617,0.11643433067441458,1.120730784272078,1.504356447994189,-1.2943515086165103,-0.26537484864851935,-1.1718529927511037,-0.09409329673326207,1.5556029431476597,0.3858374246844983,17,30,4BxzNZpcm1j3JczZzGNe2k,Bandoleros,"Don Omar, Tego Calderón",The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack)
-1.3747954565673635,0.4021685571438112,0.7713497358277679,-0.44063744263778454,-0.4886354120720185,-1.3329431547582475,-0.11880680482707731,0.1976552280944481,-0.26537484864851935,-1.1718529927511037,-1.4799954383027234,0.5423968822037196,-0.739268813976601,10,27,01Lr5YepbgjXAWR9iOEyH1,Love Sosa,Chief Keef,Finally Rich
-0.5089955865604721,-1.409236126235603,-0.30017211635668,0.25584676780327914,-0.6007750043943574,-1.2269986841610832,-0.5088071169626378,-1.2943515086165103,-0.26537484864851935,0.8533493588238805,-1.202815009988831,0.24464634796522927,1.0244220227184673,11,12,72zHuDxFQTjbL51qJQSA7j,"Ranjha (From ""Shershaah"")","Jasleen Royal, B Praak, Romy, Anvita Dutt","Ranjha (From ""Shershaah"")"
-0.11397439586982748,-1.198879214939293,1.373684504807191,0.602163246750792,0.8667208116799918,0.6121973254056893,1.875307901696393,0.0318767017932305,-0.26537484864851935,-1.1718529927511037,-1.202815009988831,1.54393855996514,0.3259701186188136,20,48,6MdqqkQ8sSC0WB4i8PyRuQ,No Diggity,"Blackstreet, Dr. Dre, Queen Pen",Another Level
